rank,gid,role,priority_score,why
1,100000003684369100,coordinator,0.9972465231,"Оборот вход+выход 12437091.00 KZT; соседей 85; достижим от 10 seed; сила роли 0.996. Приоритет проверки, не вероятность нарушения."
2,100000003016635100,coordinator,0.9939154329,"Оборот вход+выход 10001062.00 KZT; соседей 75; достижим от 7 seed; сила роли 0.991. Приоритет проверки, не вероятность нарушения."
3,100000008603629100,coordinator,0.9934611934,"Оборот вход+выход 6803456.00 KZT; соседей 73; достижим от 7 seed; сила роли 0.991. Приоритет проверки, не вероятность нарушения."
4,100000000331309100,distributor,0.9902970007,"Оборот вход+выход 23986010.00 KZT; соседей 104; достижим от 7 seed; сила роли 0.977. Приоритет проверки, не вероятность нарушения."
5,100000008477350100,coordinator,0.9890646030,"Оборот вход+выход 3984966.00 KZT; соседей 49; достижим от 7 seed; сила роли 0.988. Приоритет проверки, не вероятность нарушения."
6,100000006866783100,coordinator,0.9886832660,"Оборот вход+выход 4786849.00 KZT; соседей 72; достижим от 7 seed; сила роли 0.985. Приоритет проверки, не вероятность нарушения."
7,100000000437046100,coordinator,0.9882009870,"Оборот вход+выход 8713424.00 KZT; соседей 48; достижим от 7 seed; сила роли 0.982. Приоритет проверки, не вероятность нарушения."
8,100000000343175100,coordinator,0.9838772992,"Оборот вход+выход 4178751.00 KZT; соседей 39; достижим от 8 seed; сила роли 0.978. Приоритет проверки, не вероятность нарушения."
9,100000008165763100,coordinator,0.9836922387,"Оборот вход+выход 2433673.00 KZT; соседей 32; достижим от 9 seed; сила роли 0.987. Приоритет проверки, не вероятность нарушения."
10,100000005933757100,distributor,0.9807986957,"Оборот вход+выход 4248628.00 KZT; соседей 36; достижим от 7 seed; сила роли 0.934. Приоритет проверки, не вероятность нарушения."
11,100000008489922100,distributor,0.9784808401,"Оборот вход+выход 4051910.00 KZT; соседей 38; достижим от 8 seed; сила роли 0.970. Приоритет проверки, не вероятность нарушения."
12,100000004156082100,distributor,0.9761259042,"Оборот вход+выход 2696922.11 KZT; соседей 30; достижим от 7 seed; сила роли 0.935. Приоритет проверки, не вероятность нарушения."
13,100000003115284100,consolidator,0.9691221088,"Оборот вход+выход 2677500.00 KZT; соседей 9; достижим от 11 seed; сила роли 0.912. Приоритет проверки, не вероятность нарушения."
14,100000005704413100,distributor,0.9658558440,"Оборот вход+выход 1461427.67 KZT; соседей 34; достижим от 7 seed; сила роли 0.962. Приоритет проверки, не вероятность нарушения."
15,100000004400305100,distributor,0.9637147636,"Оборот вход+выход 6052981.00 KZT; соседей 87; достижим от 7 seed; сила роли 0.979. Приоритет проверки, не вероятность нарушения."
16,100000008346837100,coordinator,0.9619896815,"Оборот вход+выход 1513002.00 KZT; соседей 32; достижим от 7 seed; сила роли 0.960. Приоритет проверки, не вероятность нарушения."
17,100000008547948100,distributor,0.9618436691,"Оборот вход+выход 5398265.00 KZT; соседей 30; достижим от 8 seed; сила роли 0.951. Приоритет проверки, не вероятность нарушения."
18,100000001857829100,coordinator,0.9616206819,"Оборот вход+выход 3279528.00 KZT; соседей 20; достижим от 7 seed; сила роли 0.872. Приоритет проверки, не вероятность нарушения."
19,100000002398779100,consolidator,0.9614016056,"Оборот вход+выход 1161690.00 KZT; соседей 14; достижим от 8 seed; сила роли 0.926. Приоритет проверки, не вероятность нарушения."
20,100000002957787100,distributor,0.9610240923,"Оборот вход+выход 1361109.96 KZT; соседей 37; достижим от 7 seed; сила роли 0.935. Приоритет проверки, не вероятность нарушения."
21,100000003242289100,distributor,0.9561775811,"Оборот вход+выход 2928532.00 KZT; соседей 25; достижим от 7 seed; сила роли 0.936. Приоритет проверки, не вероятность нарушения."
22,100000007442518100,coordinator,0.9558142665,"Оборот вход+выход 4929999.00 KZT; соседей 14; достижим от 7 seed; сила роли 0.824. Приоритет проверки, не вероятность нарушения."
23,100000004015047100,consolidator,0.9530337164,"Оборот вход+выход 988299.00 KZT; соседей 9; достижим от 11 seed; сила роли 0.908. Приоритет проверки, не вероятность нарушения."
24,100000008710791100,distributor,0.9482962031,"Оборот вход+выход 5703021.00 KZT; соседей 26; достижим от 9 seed; сила роли 0.958. Приоритет проверки, не вероятность нарушения."
25,100000002741024100,coordinator,0.9480753701,"Оборот вход+выход 1252969.85 KZT; соседей 8; достижим от 7 seed; сила роли 0.849. Приоритет проверки, не вероятность нарушения."
26,100000004299488100,consolidator,0.9411875483,"Оборот вход+выход 2093999.00 KZT; соседей 7; достижим от 7 seed; сила роли 0.769. Приоритет проверки, не вероятность нарушения."
27,100000008547844100,distributor,0.9392826498,"Оборот вход+выход 2219799.00 KZT; соседей 21; достижим от 8 seed; сила роли 0.931. Приоритет проверки, не вероятность нарушения."
28,100000005910114100,distributor,0.9370448552,"Оборот вход+выход 1796137.00 KZT; соседей 22; достижим от 7 seed; сила роли 0.913. Приоритет проверки, не вероятность нарушения."
29,100000005578559100,distributor,0.9357914055,"Оборот вход+выход 1024163.67 KZT; соседей 23; достижим от 7 seed; сила роли 0.940. Приоритет проверки, не вероятность нарушения."
30,100000005074393100,coordinator,0.9347039031,"Оборот вход+выход 1248526.00 KZT; соседей 8; достижим от 10 seed; сила роли 0.789. Приоритет проверки, не вероятность нарушения."
31,100000008686313100,coordinator,0.9346410947,"Оборот вход+выход 2246516.00 KZT; соседей 10; достижим от 7 seed; сила роли 0.838. Приоритет проверки, не вероятность нарушения."
32,100000005782781100,coordinator,0.9329867654,"Оборот вход+выход 1435485.00 KZT; соседей 16; достижим от 7 seed; сила роли 0.841. Приоритет проверки, не вероятность нарушения."
33,100000006518161100,transit,0.9326704697,"Оборот вход+выход 1190099.00 KZT; соседей 4; достижим от 7 seed; сила роли 0.910. Приоритет проверки, не вероятность нарушения."
34,100000007055802100,consolidator,0.9325683658,"Оборот вход+выход 2629999.00 KZT; соседей 6; достижим от 7 seed; сила роли 0.723. Приоритет проверки, не вероятность нарушения."
35,100000002718366100,consolidator,0.9317126054,"Оборот вход+выход 2525000.00 KZT; соседей 6; достижим от 9 seed; сила роли 0.760. Приоритет проверки, не вероятность нарушения."
36,100000008466579100,distributor,0.9298292636,"Оборот вход+выход 1969952.00 KZT; соседей 19; достижим от 8 seed; сила роли 0.865. Приоритет проверки, не вероятность нарушения."
37,100000003796063100,distributor,0.9288953345,"Оборот вход+выход 994150.00 KZT; соседей 15; достижим от 7 seed; сила роли 0.774. Приоритет проверки, не вероятность нарушения."
